,anomaly
0,45.605164
1,45.69214
2,45.637207
3,45.600586
4,45.57312
5,45.563965
6,45.60974
7,45.582275
8,45.586853
9,45.559387
10,45.59601
11,45.61432
12,45.527344
13,45.504456
14,45.449524
15,45.559387
16,45.600586
17,45.59601
18,45.550232
19,45.486145
20,45.486145
21,45.559387
22,45.545654
23,45.509033
24,45.4541
25,45.472412
26,45.545654
27,45.55481
28,45.541077
29,45.522766
30,45.600586
31,45.582275
32,45.61432
33,45.577698
34,45.563965
35,45.67383
36,45.68756
37,45.600586
38,45.582275
39,45.655518
40,45.655518
41,45.59601
42,45.600586
43,45.61432
44,45.63263
45,45.63263
46,45.59601
47,45.563965
48,45.522766
49,45.582275
50,45.563965
51,45.577698
52,45.623474
53,45.61432
54,45.618896
55,45.65094
56,45.60974
57,45.664673
58,45.742493
59,45.760803
60,45.737915
61,45.715027
62,45.682983
63,45.655518
64,45.600586
65,45.4953
66,45.467834
67,45.43579
68,45.53192
69,45.623474
70,45.55481
71,45.481567
72,45.371704
73,45.37628
74,45.55481
75,45.637207
76,45.678406
77,45.696716
78,45.637207
79,45.57312
80,45.582275
81,45.646362
82,45.63263
83,45.623474
84,45.472412
85,45.4541
86,45.51819
87,45.490723
88,45.47699
89,45.472412
90,45.55481
91,45.59601
92,45.600586
93,45.69214
94,45.742493
95,45.66925
96,45.509033
97,45.545654
98,45.59601
99,45.646362
100,45.605164
101,45.62805
102,45.59143
103,45.527344
104,45.559387
105,45.637207
106,45.655518
107,45.60974
108,45.563965
109,45.605164
110,45.568542
111,45.559387
112,45.563965
113,45.600586
114,45.51361
115,45.53192
116,45.59601
117,45.527344
118,45.522766
119,45.4953
120,45.47699
121,45.463257
122,45.522766
123,45.527344
124,45.51361
125,45.4953
126,45.527344
127,45.504456
128,45.51819
129,45.541077
130,45.545654
131,45.600586
132,45.66925
133,45.563965
134,45.53192
135,45.522766
136,45.586853
137,45.623474
138,45.67383
139,45.63263
140,45.67383
141,45.60974
142,45.655518
143,45.67383
144,45.66925
145,45.618896
146,45.696716
147,45.66925
148,45.586853
149,45.550232
150,45.577698
151,45.66925
152,45.682983
153,45.563965
154,45.481567
155,45.504456
156,45.504456
157,45.47699
158,45.563965
159,45.59601
160,45.61432
161,45.67383
162,45.637207
163,45.65094
164,45.67383
165,45.655518
166,45.568542
167,45.57312
168,45.582275
169,45.623474
170,45.61432
171,45.563965
172,45.563965
173,45.582275
174,45.637207
175,45.600586
176,45.63263
177,45.76538
178,45.701294
179,45.577698
180,45.65094
181,45.66925
182,45.71045
183,45.641785
184,45.568542
185,45.563965
186,45.67383
187,45.641785
188,45.577698
189,45.541077
190,45.541077
191,45.527344
192,45.527344
193,45.577698
194,45.527344
195,45.559387
196,45.559387
197,45.522766
198,45.4953
199,45.527344
200,45.449524
201,45.4541
202,45.600586
203,45.586853
204,45.467834
205,45.38086
206,45.51361
207,45.53192
208,45.568542
209,45.541077
210,45.522766
211,45.527344
212,45.60974
213,45.61432
214,45.586853
215,45.545654
216,45.600586
217,45.71045
218,45.760803
219,45.70587
220,45.71045
221,45.600586
222,45.5365
223,45.600586
224,45.568542
225,45.586853
226,45.65094
227,45.660095
228,45.66925
229,45.74707
230,45.67383
231,45.605164
232,45.582275
233,45.577698
234,45.55481
235,45.55481
236,45.541077
237,45.600586
238,45.522766
239,45.522766
240,45.57312
241,45.53192
