,group_1.0,group_1.1,group_1.2,group_2.0,group_2.1,group_2.2,group_2.3,group_3.0,group_3.1,group_3.2,group_4.0,group_4.1,group_4.2
0,62.46778,62.556137,62.445694,62.224842,61.827423,62.578228,62.66659,253.05576,252.95404,253.03033,63.285343,59.512016,43.87471
1,62.46778,62.556137,62.445694,62.224842,61.827423,62.578228,62.66659,253.05576,252.95404,253.03033,63.285343,59.512016,43.87471
2,62.31318,62.224842,62.51196,61.981956,61.95988,62.777058,62.578228,253.0049,252.87775,252.95404,62.953823,59.644196,44.026722
3,62.46778,62.51196,62.40152,62.048195,61.78327,62.51196,62.136513,253.05576,252.9286,253.03033,59.666225,63.4843,40.990547
4,62.40152,62.556137,62.35735,62.18068,61.89365,62.578228,62.445694,253.05576,252.9286,253.03033,61.981956,58.433178,46.548832
5,62.578228,62.291096,62.423607,62.070274,61.981956,62.6445,62.688683,253.03033,252.90318,252.97948,63.61696,59.137604,44.265636
6,62.31318,62.335262,62.6445,62.092354,61.95988,62.6445,62.62241,253.05576,252.95404,253.03033,63.373764,59.864525,43.722725
7,62.489872,62.246925,62.51196,62.136513,61.981956,62.688683,62.423607,253.05576,252.9286,253.03033,63.462193,59.137604,44.243916
8,62.31318,62.423607,62.6445,62.158596,61.95988,62.6445,62.821247,253.03033,252.9286,252.95404,63.373764,59.952667,43.049885
9,62.556137,62.423607,62.31318,62.092354,61.9378,62.688683,62.578228,253.03033,252.9286,253.0049,63.32955,59.335808,44.265636
10,62.291096,62.578228,62.51196,62.158596,61.95988,62.556137,62.66659,253.05576,252.9286,253.03033,63.39587,59.42391,44.374252
11,62.489872,62.489872,62.335262,62.18068,61.95988,62.66659,62.688683,253.03033,252.9286,253.0049,63.39587,59.48999,44.113594
12,62.51196,62.66659,62.31318,62.114433,62.004036,62.688683,62.578228,253.05576,252.95404,253.03033,63.838093,58.455185,44.96096
13,62.489872,62.246925,62.60032,62.158596,61.95988,62.578228,62.62241,253.03033,252.95404,253.03033,64.01503,58.807346,44.439426
14,62.31318,62.51196,62.40152,62.092354,61.981956,62.578228,62.51196,253.03033,252.9286,253.03033,63.39587,59.31378,44.28736
15,62.777058,62.489872,62.158596,62.048195,61.95988,62.60032,62.578228,253.0049,252.90318,253.0049,63.57274,58.785336,44.808823
16,62.523033,62.412567,62.40155,62.059235,61.937805,62.567184,62.62241,253.03033,252.9159,253.01761,63.57274,58.9945,44.580673
17,62.26901,62.335262,62.6445,62.070274,61.915726,62.53405,62.66659,253.05576,252.9286,253.03033,63.57274,59.203667,44.352528
18,62.423607,62.53405,62.335262,62.335262,61.871574,62.66659,62.66659,253.0049,252.87775,252.97948,63.72752,59.512016,44.026722
19,62.39048,62.545094,62.412567,62.235886,61.827423,62.57823,62.57823,253.01761,252.89047,252.99219,63.373817,59.68827,43.809593
20,62.35735,62.556137,62.489872,62.136513,61.78327,62.489872,62.489872,253.03033,252.90318,253.0049,63.02012,59.864525,43.592464
21,62.66659,62.445694,62.379436,62.20276,61.9378,62.66659,62.66659,253.05576,252.9286,253.0049,62.93173,59.88656,43.831284
22,62.456757,62.611374,62.346306,62.114437,61.89365,62.633453,62.478844,253.06848,252.9286,253.01761,63.351738,59.743347,44.40699
23,62.246925,62.777058,62.31318,62.026115,61.8495,62.60032,62.291096,253.08119,252.9286,253.03033,63.771748,59.600132,44.982697
24,62.489872,62.224842,62.53405,62.31318,61.981956,62.51196,62.423607,253.05576,252.9286,253.03033,63.661182,58.961456,44.4177
25,62.412567,62.280052,62.556137,62.213806,61.981956,62.51196,62.511963,253.05576,252.9159,253.03033,63.429054,59.24775,44.037647
26,62.335262,62.335262,62.578228,62.114433,61.981956,62.51196,62.60032,253.05576,252.90318,253.03033,63.196926,59.534046,43.657593
27,62.62241,62.246925,62.51196,62.136513,61.95988,62.556137,62.60032,253.03033,252.90318,252.97948,64.01503,58.631252,44.265636
28,62.611366,62.423622,62.412567,62.18068,61.970917,62.545094,62.611366,253.04305,252.9159,253.00491,63.705452,58.97252,44.254776
29,62.60032,62.60032,62.31318,62.224842,61.981956,62.53405,62.62241,253.05576,252.9286,253.03033,63.39587,59.31378,44.243916
30,62.511963,62.60032,62.31318,62.19172,61.926765,62.567184,62.60032,253.03033,252.9286,253.03033,63.38482,59.13762,44.167896
31,62.423607,62.60032,62.31318,62.158596,61.871574,62.60032,62.578228,253.03033,252.9286,253.01761,63.373764,58.961456,44.091877
32,62.53405,62.379436,62.40152,61.95988,61.95988,62.379436,62.66659,253.03033,252.9286,253.0049,64.43538,59.864525,42.876316
33,62.55614,62.41625,62.349987,62.00404,61.96724,62.430973,62.63714,253.03033,252.9286,253.01761,64.081505,59.864525,43.23083
34,62.578228,62.45306,62.29846,62.048195,61.974598,62.482513,62.60768,253.03033,252.9286,253.03033,63.727634,59.864525,43.585342
35,62.60032,62.489872,62.246925,62.092354,61.981956,62.53405,62.578228,253.00491,252.9159,253.00491,63.373764,59.864525,43.939857
36,62.335262,62.6445,62.31318,61.981956,61.739124,62.60032,62.136513,252.97948,252.90318,252.97948,63.61696,59.159626,44.091877
37,62.372074,62.592957,62.291096,62.026115,61.81271,62.54878,62.26166,253.00491,252.9159,252.99219,63.359085,59.26975,44.128075
38,62.408882,62.541416,62.26901,62.070274,61.886295,62.497234,62.38681,253.03033,252.9286,253.0049,63.101215,59.379868,44.164276
39,62.445694,62.489872,62.246925,62.114433,61.95988,62.445694,62.51196,253.01761,252.90317,252.99219,62.84334,59.48999,44.200474
40,62.379436,62.710777,62.136513,62.048195,61.95988,62.62241,62.489872,253.0049,252.87775,252.97948,63.307446,59.666225,43.635883
