,group_2.0,group_2.1,group_2.2,group_2.3
0,62.224842,61.827423,62.578228,62.66659
1,62.224842,61.827423,62.578228,62.66659
2,61.981956,61.95988,62.777058,62.578228
3,62.048195,61.78327,62.51196,62.136513
4,62.18068,61.89365,62.578228,62.445694
5,62.070274,61.981956,62.6445,62.688683
6,62.092354,61.95988,62.6445,62.62241
7,62.136513,61.981956,62.688683,62.423607
8,62.158596,61.95988,62.6445,62.821247
9,62.092354,61.9378,62.688683,62.578228
10,62.158596,61.95988,62.556137,62.66659
11,62.18068,61.95988,62.66659,62.688683
12,62.114433,62.004036,62.688683,62.578228
13,62.158596,61.95988,62.578228,62.62241
14,62.092354,61.981956,62.578228,62.51196
15,62.048195,61.95988,62.60032,62.578228
16,62.059235,61.937805,62.567184,62.62241
17,62.070274,61.915726,62.53405,62.66659
18,62.335262,61.871574,62.66659,62.66659
19,62.235886,61.827423,62.57823,62.57823
20,62.136513,61.78327,62.489872,62.489872
21,62.20276,61.9378,62.66659,62.66659
22,62.114437,61.89365,62.633453,62.478844
23,62.026115,61.8495,62.60032,62.291096
24,62.31318,61.981956,62.51196,62.423607
25,62.213806,61.981956,62.51196,62.511963
26,62.114433,61.981956,62.51196,62.60032
27,62.136513,61.95988,62.556137,62.60032
28,62.18068,61.970917,62.545094,62.611366
29,62.224842,61.981956,62.53405,62.62241
30,62.19172,61.926765,62.567184,62.60032
31,62.158596,61.871574,62.60032,62.578228
32,61.95988,61.95988,62.379436,62.66659
33,62.00404,61.96724,62.430973,62.63714
34,62.048195,61.974598,62.482513,62.60768
35,62.092354,61.981956,62.53405,62.578228
36,61.981956,61.739124,62.60032,62.136513
37,62.026115,61.81271,62.54878,62.26166
38,62.070274,61.886295,62.497234,62.38681
39,62.114433,61.95988,62.445694,62.51196
40,62.048195,61.95988,62.62241,62.489872
41,62.077633,62.018757,62.60032,62.563507
42,62.107075,62.077637,62.578228,62.637142
43,62.136513,62.136513,62.556137,62.710777
44,62.070274,61.915726,62.60032,62.423607
45,62.077633,61.908367,62.570866,62.416245
46,62.084995,61.90101,62.541412,62.408882
47,62.092354,61.89365,62.51196,62.40152
48,62.092354,61.948845,62.545094,62.45674
49,62.092354,62.004036,62.578228,62.51196
50,62.114433,61.992996,62.53405,62.269035
51,62.136513,61.981956,62.489872,62.026115
52,62.136513,61.926765,62.53405,62.169647
53,62.136513,61.871574,62.578228,62.31318
54,62.147552,61.915726,62.62241,62.423615
55,62.158596,61.95988,62.66659,62.53405
56,62.048195,62.224842,62.51196,62.754963
57,62.004036,62.114433,62.66659,62.62241
58,62.158596,61.95988,62.578228,62.66659
59,62.070274,61.981956,62.688683,62.20276
60,62.048195,61.95988,62.53405,62.51196
61,62.048195,61.69498,62.51196,61.95988
62,62.026115,61.827423,62.60032,62.556137
63,62.092354,61.95988,62.60032,62.66659
64,62.070274,61.78327,62.688683,62.489872
65,62.158596,61.628765,62.489872,62.46778
66,62.004036,62.092354,62.66659,62.688683
67,62.048195,61.95988,62.556137,62.423607
68,61.981956,61.871574,62.60032,62.379436
69,62.004036,61.89365,62.60032,62.445694
70,62.092354,61.9378,62.578228,62.60032
71,61.95988,61.717052,62.66659,62.070274
72,62.048195,61.981956,62.688683,62.423607
73,62.004036,61.95988,62.66659,62.66659
74,61.981956,62.004036,62.578228,62.379436
75,62.092354,61.89365,62.489872,62.489872
76,62.114433,61.981956,62.556137,62.688683
77,62.070274,61.95988,62.53405,62.53405
78,62.070274,61.981956,62.489872,62.51196
79,61.981956,62.092354,62.60032,62.754963
80,62.136513,61.89365,62.578228,62.51196
81,62.048195,61.871574,62.53405,62.40152
82,62.092354,61.89365,62.578228,62.73287
83,61.981956,61.7612,62.60032,62.158596
84,62.048195,61.805347,62.66659,62.20276
85,62.136513,61.89365,62.578228,62.60032
86,62.004036,61.981956,62.51196,62.60032
87,62.114433,62.114433,62.31318,62.66659
88,62.556137,61.8495,62.66659,62.35735
89,62.224842,61.95988,62.489872,62.84334
90,62.136513,61.981956,62.489872,62.60032
91,62.246925,61.805347,62.688683,62.048195
92,62.19172,61.882614,62.60032,62.280075
93,62.136513,61.95988,62.51196,62.51196
94,62.136513,61.739124,62.51196,62.31318
95,62.114433,61.860542,62.556137,62.35735
96,62.092354,61.981956,62.60032,62.40152
97,62.092354,61.805347,62.688683,62.40152
98,62.114433,61.893654,62.62241,62.412563
99,62.136513,61.981956,62.556137,62.423607
100,61.981956,61.871574,62.688683,62.335262
101,62.070274,61.915726,62.6445,62.42361
102,62.158596,61.95988,62.60032,62.51196
103,62.158596,61.95988,62.60032,62.777058
104,62.158596,61.970917,62.545097,62.699734
105,62.158596,61.981956,62.489872,62.62241
106,62.158596,61.970917,62.57823,62.71078
107,62.158596,61.95988,62.66659,62.799152
108,62.114433,61.89365,62.62241,62.31318
109,62.125473,61.926765,62.611366,62.489883
110,62.136513,61.95988,62.60032,62.66659
111,62.070274,62.158596,62.73287,62.688683
112,62.026115,61.95988,62.688683,62.62241
113,62.004036,61.981956,62.6445,62.335262
114,62.20276,61.981956,62.688683,62.51196
115,62.070274,62.158596,62.66659,62.66659
116,62.136513,61.871574,62.556137,62.445694
117,62.31318,61.981956,62.489872,62.799152
118,62.136513,61.67291,62.60032,62.31318
119,61.981956,61.89365,62.51196,62.335262
120,62.070274,61.805347,62.60032,62.335262
121,62.114433,61.893654,62.633453,62.412567
122,62.158596,61.981956,62.66659,62.489872
123,62.158596,61.95988,62.51196,62.578228
124,62.136513,61.82743,62.500916,62.35737
125,62.114433,61.69498,62.489872,62.136513
126,62.092354,61.981956,62.578228,62.578228
127,62.147556,61.94884,62.633453,62.578228
128,62.20276,61.915726,62.688683,62.578228
129,62.114433,61.805347,62.53405,62.31318
130,62.092354,61.871574,62.60032,62.423615
131,62.070274,61.9378,62.66659,62.53405
132,62.158596,61.871574,62.53405,62.53405
133,62.158596,61.827423,62.567184,62.556137
134,62.158596,61.78327,62.60032,62.578228
135,62.125473,61.827423,62.567184,62.511963
136,62.092354,61.871574,62.53405,62.445694
137,62.158596,61.95988,62.62241,62.66659
138,62.158596,61.96724,62.60768,62.615047
139,62.158596,61.974598,62.592957,62.563503
140,62.158596,61.981956,62.578228,62.51196
141,62.026115,61.981956,62.777058,62.335262
142,62.070274,61.974598,62.732872,62.39416
143,62.114437,61.96724,62.688686,62.45306
144,62.158596,61.95988,62.6445,62.51196
145,62.092354,61.915726,62.60032,62.53405
146,62.081314,61.904686,62.60032,62.47883
147,62.070274,61.89365,62.60032,62.423607
148,62.158596,61.95988,62.578228,62.60032
149,62.004036,61.78327,62.53405,62.489872
150,61.95988,61.981956,62.66659,62.578228
151,62.048195,61.78327,62.66659,62.31318
152,62.092354,61.981956,62.60032,62.40152
153,62.158596,61.981956,62.62241,62.53405
154,62.092354,61.981956,62.688683,62.423607
155,62.20276,61.981956,62.688683,62.556137
156,62.026115,61.95988,62.688683,62.688683
157,62.114433,61.981956,62.66659,62.46778
158,62.092354,61.915726,62.51196,62.53405
159,62.070274,61.981956,62.60032,62.578228
160,62.20276,61.95988,62.66659,62.60032
161,62.136513,62.158596,62.40152,62.887535
162,62.114433,61.95988,62.66659,62.84334
163,61.981956,61.915726,62.66659,62.40152
164,62.335262,61.78327,62.66659,62.754963
165,61.981956,61.95988,62.62241,62.578228
166,62.114433,61.606693,62.66659,62.26901
167,62.048195,61.805347,62.66659,62.31318
168,62.114433,61.95988,62.53405,62.489872
169,62.18068,62.158596,62.578228,62.90963
170,62.048195,61.981956,62.60032,62.291096
171,62.136513,61.871574,62.62241,62.556137
172,62.158596,61.9378,62.62241,62.53405
173,61.981956,61.95988,62.578228,62.46778
174,62.114433,61.981956,62.6445,62.556137
175,62.158596,61.9378,62.62241,62.578228
176,62.048195,61.78327,62.66659,62.246925
177,62.114433,61.981956,62.688683,62.423607
178,62.136513,61.95988,62.66659,62.578228
179,62.048195,61.805347,62.51196,62.136513
180,62.114433,61.981956,62.688683,62.556137
181,62.136513,61.981956,62.688683,62.51196
182,62.136513,61.970917,62.611366,62.500916
183,62.136513,61.95988,62.53405,62.489872
184,62.070274,61.871574,62.62241,62.489872
185,62.070274,61.926765,62.6445,62.500916
186,62.070274,61.981956,62.66659,62.51196
187,62.114433,61.871574,62.865437,62.578228
188,62.125473,61.926765,62.77706,62.62241
189,62.136513,61.981956,62.688683,62.66659
190,61.95988,61.805347,62.6445,62.136513
191,62.026115,61.816383,62.611366,62.302147
192,62.092354,61.827423,62.578228,62.46778
193,62.092354,61.871574,62.53405,62.158596
194,62.114433,61.915726,62.545094,62.412594
195,62.136513,61.95988,62.556137,62.66659
196,62.048195,61.7612,62.423607,62.31318
197,62.059235,61.87158,62.489872,62.32422
198,62.070274,61.981956,62.556137,62.335262
199,62.114433,61.937805,62.567184,62.42361
200,62.158596,61.89365,62.578228,62.51196
201,62.136513,61.717052,62.40152,62.35735
202,62.107075,61.797997,62.489876,62.497253
203,62.077633,61.878937,62.578236,62.637154
204,62.048195,61.95988,62.66659,62.777058
205,62.136513,61.827423,62.6445,62.6445
206,62.151234,61.937813,62.651863,62.688686
207,62.16596,62.048206,62.65923,62.732872
208,62.18068,62.158596,62.66659,62.777058
209,62.16964,62.05924,62.60032,62.655556
210,62.158596,61.95988,62.53405,62.53405
211,62.158596,61.970917,62.511963,62.611366
212,62.158596,61.981956,62.489872,62.688683
213,62.136513,61.970917,62.57823,62.677635
214,62.114433,61.95988,62.66659,62.66659
215,62.125473,61.970917,62.60032,62.556145
216,62.136513,61.981956,62.53405,62.445694
217,62.059235,61.981956,62.60032,62.39048
218,61.981956,61.981956,62.66659,62.335262
219,62.114433,61.915726,62.688683,62.51196
220,62.18068,61.827423,62.62241,62.6445
221,62.070274,61.981956,62.688683,62.51196
222,62.048195,62.158596,62.688683,62.73287
223,62.136513,61.95988,62.51196,62.66659
224,62.158596,61.981956,62.489872,62.66659
225,62.158596,61.95988,62.66659,62.62241
