,group_4.0,group_4.1,group_4.2
0,63.285343,59.512016,43.87471
1,63.285343,59.512016,43.87471
2,62.953823,59.644196,44.026722
3,59.666225,63.4843,40.990547
4,61.981956,58.433178,46.548832
5,63.61696,59.137604,44.265636
6,63.373764,59.864525,43.722725
7,63.462193,59.137604,44.243916
8,63.373764,59.952667,43.049885
9,63.32955,59.335808,44.265636
10,63.39587,59.42391,44.374252
11,63.39587,59.48999,44.113594
12,63.838093,58.455185,44.96096
13,64.01503,58.807346,44.439426
14,63.39587,59.31378,44.28736
15,63.57274,58.785336,44.808823
16,63.57274,58.9945,44.580673
17,63.57274,59.203667,44.352528
18,63.72752,59.512016,44.026722
19,63.373817,59.68827,43.809593
20,63.02012,59.864525,43.592464
21,62.93173,59.88656,43.831284
22,63.351738,59.743347,44.40699
23,63.771748,59.600132,44.982697
24,63.661182,58.961456,44.4177
25,63.429054,59.24775,44.037647
26,63.196926,59.534046,43.657593
27,64.01503,58.631252,44.265636
28,63.705452,58.97252,44.254776
29,63.39587,59.31378,44.243916
30,63.38482,59.13762,44.167896
31,63.373764,58.961456,44.091877
32,64.43538,59.864525,42.876316
33,64.081505,59.864525,43.23083
34,63.727634,59.864525,43.585342
35,63.373764,59.864525,43.939857
36,63.61696,59.159626,44.091877
37,63.359085,59.26975,44.128075
38,63.101215,59.379868,44.164276
39,62.84334,59.48999,44.200474
40,63.307446,59.666225,43.635883
41,63.24114,59.732327,43.64312
42,63.174828,59.798424,43.650356
43,63.10852,59.864525,43.657593
44,62.887558,59.95267,43.71187
45,62.66659,60.040817,43.766148
46,62.94281,59.776417,43.939873
47,63.21903,59.512016,44.113594
48,63.39588,59.192703,44.265648
49,63.57274,58.87339,44.4177
50,63.65013,59.192703,44.08107
51,63.72752,59.512016,43.744434
52,63.65013,59.335823,44.005035
53,63.57274,59.159626,44.265636
54,63.35168,59.37988,44.14618
55,63.130623,59.600132,44.026722
56,63.373764,60.74629,42.008892
57,63.705406,59.159626,44.352528
58,63.373764,59.512016,43.570755
59,63.39587,59.137604,44.548058
60,61.981956,59.137604,45.504494
61,63.39587,59.137604,44.982697
62,61.099194,61.27569,42.355778
63,63.4843,59.093563,44.352528
64,63.39587,59.137604,44.63497
65,63.55063,59.335808,44.091877
66,63.373764,59.335808,44.026722
67,64.811615,56.32262,48.29163
68,62.865437,59.842487,43.896427
69,66.9387,55.18111,47.92105
70,63.04222,59.137604,44.070156
71,63.04222,59.379856,44.28736
72,63.39587,59.159626,44.026722
73,63.72752,59.159626,44.265636
74,62.688683,59.48999,44.113594
75,63.04222,59.137604,45.1566
76,59.137604,64.08139,40.29775
77,63.57274,59.335808,43.049885
78,62.688683,60.371452,43.071583
79,63.373764,60.040817,43.570755
80,62.777058,59.666225,44.113594
81,60.01878,62.66659,41.77047
82,63.04222,59.137604,44.982697
83,61.606693,61.27569,41.943863
84,63.02012,59.864525,43.505634
85,63.57274,59.137604,44.439426
86,63.285343,59.644196,43.54905
87,63.4843,59.688255,42.789543
88,62.97592,59.644196,44.113594
89,63.39587,58.98347,44.46115
90,63.749634,59.137604,43.896427
91,63.196926,59.335808,44.113594
92,63.47328,59.07158,44.276512
93,63.749634,58.807346,44.439426
94,63.02012,59.688255,43.310287
95,63.241158,59.291832,43.929173
96,63.462193,58.895405,44.548058
97,63.373764,59.401882,44.222195
98,63.550644,59.456947,43.72284
99,63.72752,59.512016,43.22348
100,62.6445,59.842487,44.28736
101,63.020187,59.754356,44.200478
102,63.39587,59.666225,44.113594
103,63.373764,59.512016,43.744434
104,63.373764,59.36885,43.929016
105,63.373764,59.22569,44.113594
106,63.30745,59.203667,44.178757
107,63.241135,59.18165,44.243916
108,62.710777,59.842487,44.46115
109,62.82125,60.029816,44.02681
110,62.93173,60.217144,43.592464
111,64.45751,58.851376,44.070156
112,62.99802,59.48999,43.657593
113,63.373764,59.512016,43.657593
114,63.196926,59.688255,43.80957
115,59.159626,61.95988,43.071583
116,63.79386,59.159626,44.222195
117,61.95988,60.944782,43.418808
118,63.02012,59.666225,43.831284
119,60.569878,60.195103,44.113594
120,63.04222,59.996742,43.939857
121,62.85441,60.28331,43.32132
122,62.66659,60.569878,42.702778
123,63.72752,59.18165,43.744434
124,63.572746,59.247715,43.994175
125,63.417976,59.31378,44.243916
126,63.55063,59.159626,44.28736
127,63.296425,59.148613,44.54809
128,63.04222,59.137604,44.808823
129,63.21903,59.137604,43.744434
130,63.285343,59.225693,43.972454
131,63.351658,59.31378,44.200474
132,63.45114,59.357834,43.994164
133,63.55063,59.401882,43.787857
134,63.72752,59.42391,43.744434
135,63.65013,59.10462,44.265762
136,63.57274,58.785336,44.78709
137,63.04222,59.48999,44.005005
138,62.21076,60.379524,43.31796
139,61.37929,61.269062,42.63091
140,60.54783,62.158596,41.943863
141,63.39587,59.115585,44.091877
142,63.27062,59.335854,43.93988
143,63.14537,59.556118,43.78788
144,63.02012,59.776386,43.635883
145,63.04222,59.688255,44.026722
146,62.86545,59.94168,43.896435
147,62.688683,60.195103,43.766148
148,64.78948,59.159626,42.355778
149,61.981956,61.253624,42.37746
150,63.440083,59.31378,44.026722
151,63.10852,59.512016,43.939857
152,63.57274,59.776386,43.483925
153,63.39587,59.48999,43.91814
154,63.39587,59.093563,44.439426
155,63.992916,59.159626,44.091877
156,63.373764,59.864525,43.657593
157,63.02012,59.31378,44.46115
158,62.73287,59.48999,44.46115
159,62.887535,59.48999,44.46115
160,63.174824,59.842487,44.808823
161,62.777058,59.401882,44.113594
162,63.373764,59.46796,43.657593
163,63.130623,59.512016,43.87471
164,63.196926,59.48999,44.113594
165,63.174824,59.666225,43.766148
166,63.373764,59.31378,43.766148
167,63.02012,59.578102,44.113594
168,63.90444,59.159626,44.78709
169,63.263237,59.512016,43.939857
170,63.196926,59.842487,44.46115
171,63.90444,58.455185,44.78709
172,64.39113,58.455185,44.439426
173,65.16584,57.77319,44.917492
174,65.16584,57.025684,46.11357
175,63.04222,58.433178,45.308792
176,62.688683,59.137604,44.439426
177,63.08642,59.952667,43.896427
178,63.196926,59.600132,43.787857
179,63.196926,59.864525,43.570755
180,63.285343,59.29176,44.091877
181,60.569878,61.253624,43.592464
182,61.982872,60.316742,44.07026
183,63.39587,59.379856,44.548058
184,63.196926,59.688255,43.722725
185,63.152725,59.765373,43.74444
186,63.10852,59.842487,43.766148
187,63.92656,58.851376,44.78709
188,62.24822,59.876022,44.624123
189,60.569878,60.90067,44.46115
190,62.66659,59.137604,45.1566
191,63.68377,59.148613,44.450516
192,64.70095,59.159626,43.744434
193,64.18107,59.148613,44.222298
194,63.661182,59.137604,44.700165
195,63.373764,59.46796,43.939857
196,64.97883,57.456192,45.756123
197,66.58389,55.444427,47.572388
198,63.373764,59.864525,43.418808
199,62.490227,60.040833,43.592476
200,61.606693,60.217144,43.766148
201,64.08139,59.159626,44.265636
202,64.79733,58.096836,45.288006
203,65.51327,57.03405,46.310375
204,66.22921,55.97126,47.332745
205,61.606693,62.688683,39.583763
206,62.239933,61.571056,41.093708
207,62.87317,60.453434,42.60365
208,63.50641,59.335808,44.113594
209,63.340614,59.368843,44.102737
210,63.174824,59.401882,44.091877
211,63.285347,59.269745,44.102737
212,63.39587,59.137604,44.113594
213,63.528526,58.96147,44.31996
214,63.661182,58.785336,44.526333
215,63.46221,59.15969,44.157097
216,63.263237,59.534046,43.787857
217,61.72917,60.758003,43.082657
218,60.195103,61.981956,42.37746
219,66.02975,57.223503,45.13486
220,63.705406,59.159626,44.700165
221,63.285343,59.688255,43.91814
222,64.811615,57.377388,45.765484
223,63.32955,59.335808,44.265636
224,63.02012,59.46796,44.091877
225,62.754963,59.79842,43.766148
226,61.95988,61.981956,39.583763
227,63.04222,59.48999,44.46115
228,63.04222,59.159626,44.4177
229,62.93173,59.534046,45.1566
230,63.263237,59.31378,44.28736
231,63.174824,59.22569,44.005005
232,61.95988,61.27569,41.662113
233,62.93173,59.842487,43.744434
234,63.196926,59.48999,44.113594
235,62.865437,59.512016,44.265636
236,63.462193,59.688255,43.570755
237,62.865437,59.864525,44.005005
238,63.749634,58.939438,44.265636
239,62.60032,59.600132,43.96157
240,63.21903,59.48999,43.939857
241,62.754963,59.842487,43.766148
242,63.02012,59.864525,43.614174
243,65.67525,58.455185,43.744434
244,63.749634,58.851376,44.091877
245,63.39587,59.666225,44.091877
246,59.93063,63.285343,40.990547
247,61.95988,61.981956,40.276104
248,62.777058,59.688255,44.113594
249,63.462193,59.512016,44.265636
250,62.84334,60.084896,43.766148
251,63.39587,59.137604,44.113594
252,62.953823,59.137604,45.504494
253,63.34067,59.236706,44.624466
254,63.72752,59.335808,43.744434
255,63.561695,59.423912,43.66845
256,63.39587,59.512016,43.592464
257,63.440086,59.534046,43.84217
258,63.4843,59.556076,44.091877
259,63.08649,59.875587,44.102737
260,62.688683,60.195103,44.113594
261,63.031223,60.029816,43.234688
262,63.373764,59.864525,42.355778
263,63.373764,59.666225,43.440514
264,62.578228,59.864525,43.245182
265,63.749634,58.807346,44.091877
266,62.66659,60.040817,43.657593
267,63.373764,59.512016,43.744434
268,59.842487,61.95988,43.071583
269,63.39587,59.159626,44.265636
270,63.196926,59.35783,43.91814
271,63.21903,59.42391,44.026722
272,61.981956,61.430145,43.11498
273,62.489872,60.54783,43.09328
274,63.39587,59.688255,44.200474
275,63.373764,59.864525,43.766148
276,63.39587,59.22569,44.28736
277,63.130623,59.73232,43.91814
278,63.39587,59.137604,45.1566
279,63.639072,59.159626,44.091877
280,63.462193,59.24771,44.113594
281,61.981956,61.606693,43.766148
282,63.373764,59.24771,43.744434
283,63.39587,58.939438,44.091877
284,63.86021,58.98347,44.265636
